Day,Date,New Visitor,Returning Visitor
Monday,10/26/2020,4180,4727
Tuesday,10/27/2020,4570,6583
Wednesday,10/28/2020,4311,6352
Thursday,10/29/2020,4309,6527
Friday,10/30/2020,3874,5455
Saturday,10/31/2020,2321,2482
Sunday,11/1/2020,3414,3776
Monday,11/2/2020,5081,6780
Tuesday,11/3/2020,4125,6167
Wednesday,11/4/2020,4476,6147
Thursday,11/5/2020,3705,5891
Friday,11/6/2020,3890,4975
Saturday,11/7/2020,2591,2664
Sunday,11/8/2020,5178,4286
Monday,11/9/2020,10036,8659
Tuesday,11/10/2020,6114,7779
Wednesday,11/11/2020,6676,7633
Thursday,11/12/2020,5678,7376
Friday,11/13/2020,4876,6518
Saturday,11/14/2020,3469,3699
Sunday,11/15/2020,3498,4470
Monday,11/16/2020,4911,7647
Tuesday,11/17/2020,4276,7242
Wednesday,11/18/2020,5243,8055
Thursday,11/19/2020,4833,6602
Friday,11/20/2020,4752,5517
Saturday,11/21/2020,3135,2813
Sunday,11/22/2020,3172,3259
Monday,11/23/2020,4071,5421
Tuesday,11/24/2020,4281,4987
Wednesday,11/25/2020,4580,4072
Thursday,11/26/2020,7474,2233
Friday,11/27/2020,6000,2907
Saturday,11/28/2020,3344,2607
Sunday,11/29/2020,4846,3937
Monday,11/30/2020,5454,7342
Tuesday,12/1/2020,6039,7064
Wednesday,12/2/2020,8276,6296
Thursday,12/3/2020,5161,5981
Friday,12/4/2020,4804,5099
Saturday,12/5/2020,4674,2672
Sunday,12/6/2020,4354,3672
Monday,12/7/2020,11026,5789
Tuesday,12/8/2020,5625,5532
Wednesday,12/9/2020,5025,5374
Thursday,12/10/2020,4935,5608
Friday,12/11/2020,4427,4770
Saturday,12/12/2020,3316,2880
Sunday,12/13/2020,3877,3636
Monday,12/14/2020,4261,5664
Tuesday,12/15/2020,4572,5879
Wednesday,12/16/2020,4398,5662
Thursday,12/17/2020,4420,5299
Friday,12/18/2020,4187,4177
Saturday,12/19/2020,6582,2427
Sunday,12/20/2020,4350,2441
Monday,12/21/2020,3581,2999
Tuesday,12/22/2020,3491,2900
Wednesday,12/23/2020,2741,2709
Thursday,12/24/2020,1888,1501
Friday,12/25/2020,1675,1130
Saturday,12/26/2020,6491,1978
Sunday,12/27/2020,2450,1959
Monday,12/28/2020,3927,3541
Tuesday,12/29/2020,3712,3594
Wednesday,12/30/2020,4347,3739
Thursday,12/31/2020,2996,3183
Friday,1/1/2021,2429,2422
Saturday,1/2/2021,4014,2234
Sunday,1/3/2021,2803,2314
Monday,1/4/2021,4212,4579
Tuesday,1/5/2021,6652,4551
Wednesday,1/6/2021,3926,3994
Thursday,1/7/2021,4710,3991
Friday,1/8/2021,3305,3788
Saturday,1/9/2021,2880,2135
Sunday,1/10/2021,2745,2350
Monday,1/11/2021,3872,4692
Tuesday,1/12/2021,4535,5061
Wednesday,1/13/2021,3768,4311
Thursday,1/14/2021,4715,4512
Friday,1/15/2021,3617,4751
Saturday,1/16/2021,3927,2713
Sunday,1/17/2021,3049,3034
Monday,1/18/2021,3451,4220
Tuesday,1/19/2021,4066,6628
Wednesday,1/20/2021,3535,5832
Thursday,1/21/2021,3869,6049
Friday,1/22/2021,3502,4846
Saturday,1/23/2021,3119,2623
Sunday,1/24/2021,2762,3191
Monday,1/25/2021,3719,5783
Tuesday,1/26/2021,4249,5675
Wednesday,1/27/2021,5888,6673
Thursday,1/28/2021,4833,5894
Friday,1/29/2021,3680,4821
Saturday,1/30/2021,5585,2951
Sunday,1/31/2021,3323,3347
Monday,2/1/2021,4227,6169
Tuesday,2/2/2021,4434,5554
Wednesday,2/3/2021,4479,5548
Thursday,2/4/2021,4547,5652
Friday,2/5/2021,3523,4607
Saturday,2/6/2021,2996,2483
Sunday,2/7/2021,2639,2861
Monday,2/8/2021,5141,5991
Tuesday,2/9/2021,5303,6257
Wednesday,2/10/2021,4011,5939
Thursday,2/11/2021,10407,9401
Friday,2/12/2021,6448,7079
Saturday,2/13/2021,4164,3356
Sunday,2/14/2021,3538,3189
Monday,2/15/2021,4188,4646
Tuesday,2/16/2021,5698,7724
Wednesday,2/17/2021,5431,6832
Thursday,2/18/2021,5701,6076
Friday,2/19/2021,4980,5617
Saturday,2/20/2021,4496,3377
Sunday,2/21/2021,3589,3983
Monday,2/22/2021,5769,6608
Tuesday,2/23/2021,5707,7058
Wednesday,2/24/2021,5353,6715
Thursday,2/25/2021,6191,6460
Friday,2/26/2021,4483,5228
Saturday,2/27/2021,5837,3250
Sunday,2/28/2021,4434,4220
Monday,3/1/2021,5364,6814
Tuesday,3/2/2021,5504,6858
Wednesday,3/3/2021,4957,6770
Thursday,3/4/2021,5566,6053
Friday,3/5/2021,4919,5451
Saturday,3/6/2021,4070,3631
Sunday,3/7/2021,3814,3644
Monday,3/8/2021,6899,6500
Tuesday,3/9/2021,7354,6136
Wednesday,3/10/2021,7933,6911
Thursday,3/11/2021,5970,6943
Friday,3/12/2021,4884,4659
Saturday,3/13/2021,3931,2884
Sunday,3/14/2021,6643,3633
Monday,3/15/2021,8588,6889
Tuesday,3/16/2021,6911,6483
Wednesday,3/17/2021,8809,6501
Thursday,3/18/2021,10385,6967
Friday,3/19/2021,10660,5355
Saturday,3/20/2021,19771,4199
Sunday,3/21/2021,9814,5125
Monday,3/22/2021,26218,8590
Tuesday,3/23/2021,10995,7865
Wednesday,3/24/2021,8641,7034
Thursday,3/25/2021,6778,6514
Friday,3/26/2021,7307,5545
Saturday,3/27/2021,9431,3746
Sunday,3/28/2021,40412,7468
Monday,3/29/2021,12928,8603
Tuesday,3/30/2021,51997,12294
Wednesday,3/31/2021,20198,10483
Thursday,4/1/2021,11637,7695
Friday,4/2/2021,10481,4677
Saturday,4/3/2021,111619,9206
Sunday,4/4/2021,52404,13099
Monday,4/5/2021,117050,13330
Tuesday,4/6/2021,32176,14730
Wednesday,4/7/2021,9688,8861
Thursday,4/8/2021,6599,7500
Friday,4/9/2021,5804,6311
Saturday,4/10/2021,4703,6745
Sunday,4/11/2021,4036,4699
Monday,4/12/2021,5813,7880
Tuesday,4/13/2021,5261,7465
Wednesday,4/14/2021,5340,7652
Thursday,4/15/2021,5699,7596
Friday,4/16/2021,4963,5768
Saturday,4/17/2021,3511,3111
Sunday,4/18/2021,3542,4243
Monday,4/19/2021,6467,8273
Tuesday,4/20/2021,6058,7251
Wednesday,4/21/2021,6490,7851
Thursday,4/22/2021,5281,6816
Friday,4/23/2021,4661,5392
Saturday,4/24/2021,3247,3526
Sunday,4/25/2021,3244,4084
Monday,4/26/2021,4599,6684
Tuesday,4/27/2021,4788,6397
Wednesday,4/28/2021,7230,6782
Thursday,4/29/2021,5157,6617
Friday,4/30/2021,5026,6244
Saturday,5/1/2021,3390,3659
Sunday,5/2/2021,3392,3778
Monday,5/3/2021,5077,6598
Tuesday,5/4/2021,4968,6692
Wednesday,5/5/2021,4875,5617
Thursday,5/6/2021,5212,5494
Friday,5/7/2021,4802,4686
Saturday,5/8/2021,6245,5696
Sunday,5/9/2021,7195,7114
Monday,5/10/2021,4706,5415
Tuesday,5/11/2021,4249,4706
Wednesday,5/12/2021,4262,4529
Thursday,5/13/2021,4521,4592
Friday,5/14/2021,3561,3637
Saturday,5/15/2021,2317,1882
Sunday,5/16/2021,2649,2045
Monday,5/17/2021,4096,4059
Tuesday,5/18/2021,4194,4016
Wednesday,5/19/2021,3693,3814
Thursday,5/20/2021,4921,4694
Friday,5/21/2021,4117,3361
Saturday,5/22/2021,2636,2140
Sunday,5/23/2021,2753,2146
Monday,5/24/2021,3686,3911
Tuesday,5/25/2021,3849,3700
Wednesday,5/26/2021,3851,3762
Thursday,5/27/2021,3555,3456
Friday,5/28/2021,3115,2909
Saturday,5/29/2021,2030,1459
Sunday,5/30/2021,2162,1707
Monday,5/31/2021,2637,2091
Tuesday,6/1/2021,3192,3035
Wednesday,6/2/2021,3348,3302
Thursday,6/3/2021,3225,3263
Friday,6/4/2021,3900,2863
Saturday,6/5/2021,2659,1623
Sunday,6/6/2021,3778,2006
Monday,6/7/2021,4182,3700
Tuesday,6/8/2021,3520,3391
Wednesday,6/9/2021,3681,3364
Thursday,6/10/2021,4604,4149
Friday,6/11/2021,3182,3026
Saturday,6/12/2021,2253,1619
Sunday,6/13/2021,2646,1956
Monday,6/14/2021,3620,3679
Tuesday,6/15/2021,3875,4010
Wednesday,6/16/2021,3798,4016
Thursday,6/17/2021,3889,3804
Friday,6/18/2021,3114,2852
Saturday,6/19/2021,2156,1659
Sunday,6/20/2021,2359,1789
Monday,6/21/2021,6126,3777
Tuesday,6/22/2021,3983,4127
Wednesday,6/23/2021,4151,3652
Thursday,6/24/2021,4441,3443
Friday,6/25/2021,3220,2745
Saturday,6/26/2021,2145,1516
Sunday,6/27/2021,2531,1808
Monday,6/28/2021,3347,3408
Tuesday,6/29/2021,3221,3237
Wednesday,6/30/2021,3366,3622
Thursday,7/1/2021,3291,3315
Friday,7/2/2021,3580,2832
Saturday,7/3/2021,2704,1582
Sunday,7/4/2021,2117,1303
Monday,7/5/2021,2646,2147
Tuesday,7/6/2021,3545,3622
Wednesday,7/7/2021,3784,3875
Thursday,7/8/2021,3632,3581
Friday,7/9/2021,3089,3033
Saturday,7/10/2021,2303,1762
Sunday,7/11/2021,2605,2060
Monday,7/12/2021,4003,4297
Tuesday,7/13/2021,3778,4084
Wednesday,7/14/2021,3853,3867
Thursday,7/15/2021,3569,4002
Friday,7/16/2021,3251,3614
Saturday,7/17/2021,2396,1956
Sunday,7/18/2021,2400,2083
Monday,7/19/2021,3474,3974
Tuesday,7/20/2021,3856,4032
Wednesday,7/21/2021,3673,3948
Thursday,7/22/2021,3748,3916
Friday,7/23/2021,3294,3272
Saturday,7/24/2021,2294,1857
Sunday,7/25/2021,2368,2002
Monday,7/26/2021,3575,3793
Tuesday,7/27/2021,3409,3771
Wednesday,7/28/2021,4198,3914
Thursday,7/29/2021,4045,3700
Friday,7/30/2021,3801,3236
Saturday,7/31/2021,2746,2278
Sunday,8/1/2021,2924,2369
Monday,8/2/2021,3996,4374
Tuesday,8/3/2021,3762,4212
Wednesday,8/4/2021,3689,4198
Thursday,8/5/2021,3907,4095
Friday,8/6/2021,5054,3889
Saturday,8/7/2021,3281,2250
Sunday,8/8/2021,3134,2364
Monday,8/9/2021,3975,4252
Tuesday,8/10/2021,3851,4112
Wednesday,8/11/2021,4649,5244
Thursday,8/12/2021,4477,4710
Friday,8/13/2021,4233,4432
Saturday,8/14/2021,2833,2610
Sunday,8/15/2021,3210,3098
Monday,8/16/2021,3975,4943
Tuesday,8/17/2021,3875,4843
Wednesday,8/18/2021,5288,6066
Thursday,8/19/2021,4295,5182
Friday,8/20/2021,4081,5153
Saturday,8/21/2021,2859,3175
Sunday,8/22/2021,3824,3589
Monday,8/23/2021,4703,5826
Tuesday,8/24/2021,4652,5630
Wednesday,8/25/2021,4883,5895
Thursday,8/26/2021,4837,6276
Friday,8/27/2021,5535,6971
Saturday,8/28/2021,3942,5308
Sunday,8/29/2021,4154,5609
Monday,8/30/2021,5507,8723
Tuesday,8/31/2021,6158,8608
Wednesday,9/1/2021,5586,7869
Thursday,9/2/2021,5406,6942
Friday,9/3/2021,3938,5562
Saturday,9/4/2021,3095,3182
Sunday,9/5/2021,2949,3221
Monday,9/6/2021,3553,4526
Tuesday,9/7/2021,5090,7244
Wednesday,9/8/2021,5787,7205
Thursday,9/9/2021,4841,6637
Friday,9/10/2021,4013,5351
Saturday,9/11/2021,2831,2865
Sunday,9/12/2021,3317,3674
Monday,9/13/2021,5273,6854
Tuesday,9/14/2021,5633,6629
Wednesday,9/15/2021,5162,6380
Thursday,9/16/2021,4654,6072
Friday,9/17/2021,4474,5254
Saturday,9/18/2021,2922,2969
Sunday,9/19/2021,3285,3649
Monday,9/20/2021,5058,6408
Tuesday,9/21/2021,4772,6307
Wednesday,9/22/2021,6417,6267
Thursday,9/23/2021,4367,5861
Friday,9/24/2021,5866,5597
Saturday,9/25/2021,2787,2781
Sunday,9/26/2021,3425,3662
Monday,9/27/2021,5023,6511
Tuesday,9/28/2021,4976,6200
Wednesday,9/29/2021,4781,6222
Thursday,9/30/2021,7671,6014
Friday,10/1/2021,3812,4810
Saturday,10/2/2021,2815,2693
Sunday,10/3/2021,3364,3366
Monday,10/4/2021,4874,6395
Tuesday,10/5/2021,4774,6221
Wednesday,10/6/2021,4784,6479
Thursday,10/7/2021,4429,5981
Friday,10/8/2021,4404,4732
Saturday,10/9/2021,3991,3036
Sunday,10/10/2021,3634,3727
Monday,10/11/2021,5115,6148
Tuesday,10/12/2021,6125,6600
Wednesday,10/13/2021,5041,6466
Thursday,10/14/2021,4463,5827
Friday,10/15/2021,4141,4640
Saturday,10/16/2021,2928,2649
Sunday,10/17/2021,3428,3521
Monday,10/18/2021,5570,5955
Tuesday,10/19/2021,4928,5924
Wednesday,10/20/2021,5411,6123
Thursday,10/21/2021,4857,5842
Friday,10/22/2021,5782,5427
Saturday,10/23/2021,3254,2561
Sunday,10/24/2021,3541,3185
Monday,10/25/2021,4445,4728
Tuesday,10/26/2021,5068,6786
Wednesday,10/27/2021,4850,6614
Thursday,10/28/2021,4695,6130
Friday,10/29/2021,4282,4802
Saturday,10/30/2021,3047,2493
Sunday,10/31/2021,3494,3389
Monday,11/1/2021,6183,7472
Tuesday,11/2/2021,5281,7172
Wednesday,11/3/2021,5695,7099
Thursday,11/4/2021,4921,6823
Friday,11/5/2021,5738,6020
Saturday,11/6/2021,3295,3258
Sunday,11/7/2021,3482,4096
Monday,11/8/2021,5084,7697
Tuesday,11/9/2021,6495,8017
Wednesday,11/10/2021,6119,7973
Thursday,11/11/2021,5035,6924
Friday,11/12/2021,5141,6107
Saturday,11/13/2021,6163,3490
Sunday,11/14/2021,4259,4470
Monday,11/15/2021,5559,7642
Tuesday,11/16/2021,5519,7483
Wednesday,11/17/2021,7469,6616
Thursday,11/18/2021,4757,6096
Friday,11/19/2021,5856,5552
Saturday,11/20/2021,3631,2826
Sunday,11/21/2021,3511,3208
Monday,11/22/2021,5396,5660
Tuesday,11/23/2021,9970,5048
Wednesday,11/24/2021,7264,4075
Thursday,11/25/2021,3962,2137
Friday,11/26/2021,12769,3494
Saturday,11/27/2021,5195,3594
Sunday,11/28/2021,4757,4074
Monday,11/29/2021,7072,7786
Tuesday,11/30/2021,7267,8022
Wednesday,12/1/2021,6379,7705
Thursday,12/2/2021,8262,6824
Friday,12/3/2021,4903,5412
Saturday,12/4/2021,5789,3661
Sunday,12/5/2021,4052,4053
Monday,12/6/2021,5098,6465
Tuesday,12/7/2021,5148,6310
Wednesday,12/8/2021,5646,6677
Thursday,12/9/2021,5961,6472
Friday,12/10/2021,4315,4858
Saturday,12/11/2021,3333,3170
Sunday,12/12/2021,4087,3873
Monday,12/13/2021,5286,6464
Tuesday,12/14/2021,5306,6631
Wednesday,12/15/2021,5832,7013
Thursday,12/16/2021,4589,5595
Friday,12/17/2021,3878,4122
Saturday,12/18/2021,5387,2615
Sunday,12/19/2021,3088,2458
Monday,12/20/2021,4101,3456
Tuesday,12/21/2021,3412,3118
Wednesday,12/22/2021,2996,3043
Thursday,12/23/2021,2584,2567
Friday,12/24/2021,1934,1473
Saturday,12/25/2021,1814,1230
Sunday,12/26/2021,2723,1893
Monday,12/27/2021,4182,3707
Tuesday,12/28/2021,4360,3930
Wednesday,12/29/2021,3930,3857
Thursday,12/30/2021,4820,4291
Friday,12/31/2021,3467,3235
Saturday,1/1/2022,3070,2993
Sunday,1/2/2022,3024,2707
Monday,1/3/2022,4196,5001
Tuesday,1/4/2022,4503,4756
Wednesday,1/5/2022,4322,4735
Thursday,1/6/2022,4775,4911
Friday,1/7/2022,4358,4917
Saturday,1/8/2022,4101,3442
Sunday,1/9/2022,3820,3823
Monday,1/10/2022,4795,6795
Tuesday,1/11/2022,4846,7359
Wednesday,1/12/2022,4682,6860
Thursday,1/13/2022,6437,6604
Friday,1/14/2022,4622,5711
Saturday,1/15/2022,3585,3170
Sunday,1/16/2022,3138,3272
Monday,1/17/2022,3993,4482
Tuesday,1/18/2022,5139,7461
Wednesday,1/19/2022,4895,6897
Thursday,1/20/2022,5426,6830
Friday,1/21/2022,5015,5609
Saturday,1/22/2022,3624,3235
Sunday,1/23/2022,4955,3752
Monday,1/24/2022,6777,6813
Tuesday,1/25/2022,5805,6468
Wednesday,1/26/2022,5658,6295
Thursday,1/27/2022,6163,6084
Friday,1/28/2022,5130,5373
Saturday,1/29/2022,4261,3122
Sunday,1/30/2022,3651,3581
Monday,1/31/2022,5323,6383
Tuesday,2/1/2022,5219,6171
Wednesday,2/2/2022,5055,5750
Thursday,2/3/2022,5418,5886
Friday,2/4/2022,4120,4807
Saturday,2/5/2022,4950,3058
Sunday,2/6/2022,3358,3680
Monday,2/7/2022,4766,6429
Tuesday,2/8/2022,5550,6247
Wednesday,2/9/2022,5157,6683
Thursday,2/10/2022,4967,6037
Friday,2/11/2022,4175,4984
Saturday,2/12/2022,4489,3486
Sunday,2/13/2022,3218,3242
Monday,2/14/2022,6030,6938
Tuesday,2/15/2022,11843,11611
Wednesday,2/16/2022,8164,10572
Thursday,2/17/2022,6908,7901
Friday,2/18/2022,5836,6566
Saturday,2/19/2022,5639,4433
Sunday,2/20/2022,4043,3922
Monday,2/21/2022,5000,4914
Tuesday,2/22/2022,5702,6902
Wednesday,2/23/2022,5875,6798
Thursday,2/24/2022,6839,6493
Friday,2/25/2022,5556,5321
Saturday,2/26/2022,8323,4120
Sunday,2/27/2022,4975,4263
Monday,2/28/2022,5959,6984
Tuesday,3/1/2022,5416,6734
Wednesday,3/2/2022,5503,6638
Thursday,3/3/2022,9139,8108
Friday,3/4/2022,5371,5053
Saturday,3/5/2022,4190,3161
Sunday,3/6/2022,4038,3125
Monday,3/7/2022,8144,5201
Tuesday,3/8/2022,9686,5874
Wednesday,3/9/2022,5391,4837
Thursday,3/10/2022,5407,4859
Friday,3/11/2022,4820,4024
Saturday,3/12/2022,4605,2845
Sunday,3/13/2022,7033,3880
Monday,3/14/2022,9582,7225
Tuesday,3/15/2022,9394,7332
Wednesday,3/16/2022,10275,6992
Thursday,3/17/2022,24047,8757
Friday,3/18/2022,13074,7131
Saturday,3/19/2022,36888,7046
Sunday,3/20/2022,12017,8230
Monday,3/21/2022,8962,9049
Tuesday,3/22/2022,7126,7677
Wednesday,3/23/2022,104,93
